2017042,1,청소기 구매 포인트 적립,120700,20181221160803
2017042,2,이벤트 포인트 적립,9500, 20190405121520
2017042,3,냉장고 구매 포인트 적립,78560,20190612220810
2017042,4,에어컨 구매 포인트 적립,71540,20190703140913
2017053,1,세탁기 구매 포인트 적립,3500,20170410201432
2017053,2,드라이기 구매 포인트 적립,2000,20181216171040
2017108,1,청소기 구매 포인트 적립,14065,20180412205434
2017108,2,이벤트 포인트 적립,9385,20180702232143
2018087,1,이벤트 포인트 적립,7800,20180421161903
2018087,2,냉장고 구매 포인트 적립,10900, 20181112161956
2018254,1,등록 포인트 적립,500,20180619230805
2018254,2,이벤트 포인트 적립,70,20180623170212
2019001,1,등록 포인트 적립,500,20190102120720
2019001,2,믹서기 구매 포인트 적립,4600,20190405134554
2019001,3,드라이기 구매 포인트 적립,7820,20190829071234
2019069,1,이벤트 포인트 적립,8900,20190219120712
2019069,2,면도기 구매 포인트 적립,3200,20190420090820
2019069,3,전기밥솥 구매 포인트 적립,3220,20190620071230
2019095,1,등록 포인트 적립,500,2019031212456
2019095,2,이벤트 포인트 적립,390,20190510072345
2019167,1,드라이기 구매 포인트 적립,3200,20190612042450
2019167,2,전기밥솥 구매 포인트 적립,3600,20190714133422
2019281,1,등록 포인트 적립,500,20190709201308
2019281,2,청소기 구매 포인트 적립,8950,20190710200921
2019281,3,냉장고 구매 포인트 적립,12200,20190712082334
2019281,4,드라이기 구매 포인트 적립,7600,20190721134421
2019281,5,믹서기 구매 포인트 적립,6250,20190724022430
